['Авель']	['III']	[['257']]
['Авраам']	['II', 'III']	[['379'], ['206', '257']]
['Аврора (Эос)']	['I', 'II']	[['120'], ['454', '493']]
['Адам']	['I', 'II', 'III']	[['79', '224', '229', '240'], ['108'], ['204', '241', '252', '257', '383']]
['Азраил']	['II']	[['40', '89', '488', '538']]
['Аквилон']	['I']	[['68']]
['Алексей (Алексий), святой']	['II']	[['106', '108']]
['Алкид']	['II']	[['552']]
['Амон-Ра']	['III']	[['399']]
['Амур']	['I']	[['42']]
['Антигона']	['I']	[['146', '204', '263', '264']]
['Аониды']	['I', 'II']	[['146', '263', '264'], ['35']]
['Аполлон']	['II']	[['109', '117', '120']]
['Арахна']	['III']	[['231']]
['Аргиопа']	['I']	[['192']]
['Аркадия']	['II']	[['233']]
['Астарта']	['IV']	[['298']]
['Афина']	['I', 'III']	[['122', '254'], ['234']]
['Афродита (Киприда)']	['I']	[['51', '149', '266', '267']]
['Ахерон (прав. Ахеронт)']	['II']	[['142']]
[]	[]	[]
['Бальтазар']	['II']	[['140']]
['Бахус']	['I']	[['128']]
[]	[]	[]
['Ваал (Балу)']	['II']	[['358']]
['Вакх']	['II']	[['151']]
['Валгалла (Вальхалла)']	['I', 'II', 'III']	[['137'], ['465'], ['70', '319']]
['Валькирии']	['I']	[['99']]
['Вельзевул']	['III', 'IV']	[['178'], ['231']]
['Вениамин']	['II']	[['379']]
['Вулкан (Гефест)']	['II']	[['146', '614']]
[]	[]	[]
['Гавриил, архангел']	['II']	[['114', '115']]
['Гаспар (Каспар)']	['II']	[['140']]
['Георгий, святой']	['II']	[['98']]
['Геракл']	['I', 'III']	[['119'], ['381']]
['Герион']	['III']	[['230-233']]
['Гермес (Меркурий)']	['I', 'II']	[['192'], ['84', '453']]
['Голиаф']	['III']	[['49', '287', '311']]
['Горгоны']	['II']	[['268']]
[]	[]	[]
['Давид']	['III']	[['51', '131', '257', '287', '312', '416']]
['Даниил']	['II']	[['114']]
['Дафна']	['III']	[['65']]
['Делия']	['I']	[['138']]
['Диана (Артемида)']	['I']	[['79']]
['Диомид (Диомед)']	['III']	[['238']]
['Дионис']	['I', 'II']	[['109', '203', '204', '248'], ['448']]
['Дионисий']	['II']	[['113']]
[]	[]	[]
['Ева']	['II', 'III', 'IV']	[['108'], ['204'], ['298']]
['Евлалия']	['I']	[['220', '292']]
['Елена']	['I', 'III']	[['115', '128', '143'], ['45']]
[]	[]	[]
['Зевс']	['I', 'II', 'III']	[['192'], ['84'], ['51', '234', '312']]
['Зигфрид (Сигурд)']	['II']	[['205']]
[]	[]	[]
['Иаков (Израиль)']	['I', 'II', 'III']	[['196'], ['376'], ['209', '257']]
['Изида (Исида)']	['II']	[['257']]
['Иисус Навин']	['I']	[['215']]
['Икар']	['II']	[['142']]
['Илья (Илия)']	['III']	[['236', '238']]
['Иоанн Богослов (Иоанн Предтеча)']	['I', 'III']	[['217'], ['241']]
['Иоанн Креститель']	['II']	[['377']]
['Иов']	['I', 'II']	[['172'], ['452']]
['Иосиф Обручник']	['II', 'III']	[[], ['152']]
['Иосиф Прекрасный']	['I', 'IV']	[['97'], ['302']]
['Ипокрена']	['III']	[['75']]
['Ипполит']	['I']	[['118', '251', '252']]
['Ирод']	['III']	[['132']]
['Исаак']	['III']	[['257']]
['Исайя']	['I']	[['84']]
