Аввакум Петрович	[' (1620/1621—1682), протопоп, основатель старообрядчества, возглавивший церковный раскол — ']	['II']	['375,383']
Август, Октавиан	[' (63 до н. э.—14 н. э.), римский император — ']	['I']	['116,246']
Авербах, Леопольд Леонидович	[' (1903—1937), литературный критик — ']	['IV']	['124,400']
Аверроэс	[' (наст. имя Ибн Рушд Абу-ль-Валид Мухаммед ибн Ахмед; 1126—1198), арабский философ и врач — ']	['III']	['220,446']
Аверьянов, Михаил Васильевич	[' (1867—1941), книгоиздатель — ']	['IV']	['21,370']
Агнивцев, Николай Яковлевич	[' (1888—1932), поэт — ']	['II']	['244,622']
Адалис (Ефрон), Аделина Ефимовна	[' (1900—1969), поэтесса, переводчица — ']	['II', 'III']	['257,258', '275—278,452']
Адамович, Георгий Викторович 	['(1892—1972), поэт, критик — ']	['IV']	['24,372']
Адриан Федорович	[', знакомый О. Мандельштама в Воронеже — ']	['IV']	['194']
Адуев, Николай Альфредович	[' (1895—1950), писатель — ']	['IV']	['134']
Азаров, Тихон Иванович	[' — ']	['III']	['436']
Айзенштадт, Александр Герцевич	[', скрипач — ']	['III']	['47,310']
Айхенвальд, Юлий Исаевич	[' (1872—1928), литературный критик — ']	['II']	['252']
Айч	[', ссыльный в Воронеже — ']	['IV']	['191—193,421']
Аксаков, Сергей Тимофеевич	[' (1791—1859), писатель — ']	['II']	['384']
Аксенов, Иван Александрович	[' (1884—1935), поэт, переводчик, литературный и художественный критик — ']	['II', 'IV']	['257,623', '124']
Александр I	[' (1777—1825), русский император 1801—1825 — ']	['I', 'II']	['83', '313,576']
Александр II	[' (1818—1881), русский император 1855—1881 — ']	['II']	['362,434']
Александр III	[' (1845—1894), русский император 1881—1894 — ']	['II']	['324,326,353,355']
Александр Герцевич	[]	['']	[]
Александр Македонский	[' (Искандер; 356—323 до н. э.), полководец, царь Македонии 336—323 до н. э. — ']	['III']	['274']
Алексеев Е	['., кинооператор — ']	['II']	['503']
Алексей Михайлович	[' (1629—1676), русский царь 1645—1676 — ']	['III']	['143']
Алкивиад	[' (ок. 451—404 до н. э.), афинский политический деятель — ']	['I']	['175']
Алла Борисовна	[', сестра С. Б. Рудакова — ']	['IV']	['162,413']
Альварес, Хосе Сиксто	[' (псевдоним: Фрай Мочо; 1858—1903), аргентинский писатель — ']	['II']	['595']
Альтман, Натан Исаевич	[' (1889—1970), художник — ']	['II']	['84,447']
Амп, Пьер	[' (наст. имя Анри Луи Бурийон; 1876—1962), французский писатель — ']	['II']	['345—346,415,632']
Анатолий К.	[]	['']	[]
Ангерт, Давид Николаевич	[' (1895—1977), ответственный работник Ленгиза — ']	['IV']	['48,58,76,87,98,99,378']
Андреев, Леонид Николаевич	[' (1871—1919), писатель — ']	['I', 'II', 'III', 'IV']	['188', '261,283,384', '371', '199']
Андроник I Комнен (Комнин)	[' (1113—1185), византийский император 1183—1185 — ']	['I']	['126']
Андроникова (Гальперн), Саломея Николаевна	[' (1888—1982) — ']	['I']	['126']
Ане, Клод	[' (наст. имя Жан Шопфер; 1868—1931), французский писатель — ']	['II']	['586']
Анна Иванна	[]	['']	[]
Анна Леопольдовна	[' (1718—1746), правительница России в 1740—1741 гг. — ']	['II']	['491']
Анна Михайловна	[]	['']	[]
Анненский, Иннокентий Федорович	[' (1855—1909), поэт — ']	['I', 'II', 'IV']	['192,207,225,226', '239,290,292,293,572', '16']
Анненский, Николай Федорович	[' (1843—1912), публицист, экономист, общественный деятель, брат И. Ф. Анненского — ']	['II']	['368']
Ансельмуччио	[]	['']	[]
Ан-ский, Семен Акимович	[' (наст. имя Рапопорт, Шлойме Зейнвил; 1863—1920), писатель — ']	['II']	['381']
Антимонов, Сергей Иванович	[', актер — ']	['I']	['160']
Апель (Аппель), Иосиф	[' (1906?—1937?), писатель — ']	['IV']	['122,136,137,399,402']
Аполлинер, Гийом	[' (наст. имя Костровицкий, Гийом Аполлинарий; 1880—1918), французский поэт — ']	['II']	['449,451']
Апухтин, Алексей Николаевич	[' (1840—1893), поэт — ']	['II']	['292,367']
Ариосто, Лудовико 	['(1474—1533), итальянский поэт — ']	['III']	['70—73,400,401']
Аристотель	[' (384—322 до н. э.), древнегреческий философ — ']	['III', 'IV']	['220,240,389', '150']
Аркос, Жан Рене	[' (1881—1959), французский писатель, поэт — ']	['II']	['415,634']
Арнольди Л. В.,	[' ихтиолог и энтомолог — ']	['III']	['183']
Артур	[' (V—VI вв.), бриттский король — ']	['II']	['328,630']
Архилох	[' (VII в. до н.э.), древнегреческий поэт — ']	['II']	['268']
Архимед	[' (ок. 287—212 до н.э.), древнегреческий математик и механик — ']	['II']	['189,400']
Асеев, Николай Николаевич	[' (1889—1963), поэт — ']	['II', 'III', 'IV']	['258,259,293,297,409,519', '411', '134,136']
Ахматова (Горенко), Анна Андреевна	[' (1889—1966) — ']	['I', 'II', 'III', 'IV']	['97,98,155,207,208,229,272', '239,293,295,300,409', '153', '48,49,56,61,62,68,70,74,84,101,120,158']
Ахтинский (Ахтынский), Гаджи	[' (1865—1914), лезгинский поэт — ']	['III']	['262']
Аш, Шолом	[' (1880—1957), еврейский писатель — ']	['II']	['82']
Ашордия	[', грузинский авантюрист второй половины XIX в. — ']	['II']	['99,612']
Бабайцев	[' — ']	['III']	['437,438']
Бабайцева	[' — ']	['III']	['437']
Бабель, Исаак Эммануилович	[' (1894—1940), писатель — ']	['II', 'IV']	['478,524', '112']
Багрицкий (Дзюбин), Эдуард Георгиевич	[' (1895—1934), поэт — ']	['III']	['269,278,411']
Бажирай	[]	['']	[]
Базедов, Иоганн Бернгард	[' (1723—1790), немецкий педагог — ']	['III']	['420,421']
Байрон, Джордж Ноэл Гордон	[' (1788—1824), английский поэт — ']	['II', 'III']	['225,279', '269']
Бакланов	[', литератор — ']	['II']	['605']
Балагин (Гершенович), Александр Самойлович	[' (1894 — после 1940), поэт — ']	['IV']	['28,373']
Бальзак, Оноре де	[' (1799—1850), французский писатель — ']	['I', 'II', 'IV']	['191', '261,273,427,467', '107']
Бальмонт, Константин Дмитриевич	[' (1867—1942), поэт — ']	['I', 'II', 'IV']	['185,225,275', '237,255,290,291,375,445', '46']
